,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.6043329253365973,1,5,10,300,COMPLETE
1,1,0.6016891064871481,6,5,20,500,COMPLETE
2,2,0.5816891064871481,2,5,40,500,COMPLETE
3,3,0.5956181150550796,4,10,30,125,COMPLETE
4,4,0.592313341493268,2,5,5,100,COMPLETE
5,5,0.5955201958384333,3,2,5,400,COMPLETE
6,6,0.5536107711138312,3,10,2,250,COMPLETE
7,7,0.6065116279069768,5,2,10,75,COMPLETE
8,8,0.5941982864137086,4,2,30,125,COMPLETE
9,9,0.5923623011015913,1,5,5,200,COMPLETE
